pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount,tip_amount
2015-01-02,2,0,0.0,2,18.5,0.0
2015-01-02,2,1,1.559999942779541,1,8.5,0.0
2015-01-02,2,1,13.399999618530273,2,52.0,0.0
2015-01-02,2,6,1.7700001001358032,1,8.0,1.7000000476837158
2015-01-02,2,1,10.09000015258789,1,28.0,5.699999809265137
2015-01-02,2,2,0.4399999976158142,2,3.5,0.0
2015-01-02,2,2,3.6499998569488525,2,13.5,0.0
2015-01-02,2,1,1.0499999523162842,1,6.5,1.399999976158142
2015-01-02,2,1,1.8199999332427979,1,7.0,1.5
2015-01-02,2,1,0.3500000238418579,1,3.0,0.699999988079071
2015-01-02,2,1,0.5199999809265137,2,4.5,0.0
2015-01-02,2,1,6.820000171661377,2,23.0,0.0
2015-01-02,2,2,2.369999885559082,1,9.5,1.0
2015-01-02,2,1,2.759999990463257,1,10.5,2.200000047683716
2015-01-02,2,4,2.9200000762939453,2,13.0,0.0
2015-01-02,2,1,0.9299999475479126,2,5.0,0.0
2015-01-02,2,6,0.9199999570846558,1,6.0,1.2999999523162842
2015-01-02,2,1,5.470000267028809,2,18.5,0.0
2015-01-02,2,1,1.4700000286102295,1,6.0,1.2999999523162842
2015-01-02,2,1,6.940000057220459,1,22.5,2.0
2015-01-02,2,1,2.0999999046325684,2,9.0,0.0
2015-01-02,2,2,1.1399999856948853,1,6.0,1.6200000047683716
2015-01-02,2,3,1.0199999809265137,1,6.0,1.2999999523162842
2015-01-02,2,2,2.359999895095825,2,9.5,0.0
2015-01-02,2,1,9.289999961853027,2,28.5,0.0
2015-01-02,2,6,2.5899999141693115,1,9.0,1.899999976158142
2015-01-02,2,5,17.280000686645508,1,52.0,11.470000267028809
2015-01-02,2,1,1.5,1,7.0,1.0
2015-01-02,2,2,4.440000057220459,2,17.0,0.0
2015-01-02,2,1,0.8899999856948853,1,5.5,1.2000000476837158
2015-01-02,2,1,0.949999988079071,2,5.5,0.0
2015-01-02,2,1,1.8899999856948853,1,8.0,1.7000000476837158
2015-01-02,2,6,7.430000305175781,1,21.5,4.400000095367432
2015-01-02,2,2,0.7799999713897705,2,4.5,0.0
2015-01-02,2,2,14.640000343322754,2,40.5,0.0
2015-01-02,2,1,1.9299999475479126,2,10.0,0.0
2015-01-02,2,1,2.379999876022339,1,9.5,2.0
2015-01-02,2,5,6.340000152587891,2,22.5,0.0
2015-01-02,2,1,1.3799999952316284,1,6.5,1.75
2015-01-02,2,4,19.270000457763672,2,52.0,0.0
2015-01-02,2,1,0.699999988079071,2,5.0,0.0
2015-01-02,2,2,0.6500000357627869,1,4.0,0.8999999761581421
2015-01-02,2,1,2.2200000286102295,2,8.5,0.0
2015-01-02,2,1,7.410000324249268,1,22.5,5.670000076293945
2015-01-02,2,1,1.4299999475479126,2,7.5,0.0
2015-01-02,2,1,0.7699999809265137,2,4.5,0.0
2015-01-02,2,1,0.7400000095367432,1,5.5,1.0
2015-01-02,2,5,3.0899999141693115,1,11.5,2.4000000953674316
2015-01-02,2,1,1.5299999713897705,1,7.0,1.5
2015-01-02,2,2,1.7000000476837158,2,9.0,0.0
2015-01-02,2,1,3.169999837875366,1,13.5,3.0
2015-01-02,2,1,1.600000023841858,2,7.0,0.0
2015-01-02,2,5,0.8799999952316284,2,5.0,0.0
2015-01-02,2,1,1.5299999713897705,1,6.5,1.75
2015-01-02,2,2,2.309999942779541,1,9.0,1.0
2015-01-02,2,5,1.0700000524520874,2,5.5,0.0
2015-01-02,2,1,0.7899999618530273,2,6.5,0.0
2015-01-02,2,1,0.8500000238418579,1,4.5,1.25
2015-01-02,2,6,0.4699999988079071,1,5.0,1.100000023841858
2015-01-02,2,1,1.159999966621399,1,5.5,1.0
2015-01-02,2,1,1.3700000047683716,1,7.0,1.5
2015-01-02,2,1,1.2100000381469727,2,6.0,0.0
2015-01-02,2,1,3.1599998474121094,2,11.0,0.0
2015-01-02,2,2,13.279999732971191,1,37.5,8.670000076293945
2015-01-02,2,2,0.699999988079071,2,4.5,0.0
2015-01-02,2,6,6.679999828338623,1,26.5,5.400000095367432
2015-01-02,2,2,7.099999904632568,1,25.5,0.0
2015-01-02,2,1,3.9200000762939453,1,15.5,4.0
2015-01-02,2,1,2.669999837875366,2,10.5,0.0
2015-01-02,2,6,4.25,1,15.5,3.200000047683716
2015-01-02,2,1,7.980000019073486,1,25.5,5.199999809265137
2015-01-02,2,2,1.3899999856948853,2,6.5,0.0
2015-01-02,2,1,0.9699999690055847,2,5.5,0.0
2015-01-02,2,1,3.669999837875366,1,13.0,2.700000047683716
2015-01-02,2,1,2.7100000381469727,1,11.0,2.299999952316284
2015-01-02,2,2,0.5600000023841858,2,4.0,0.0
2015-01-02,2,1,1.1100000143051147,1,5.5,1.0
2015-01-02,2,1,1.28000009059906,2,6.5,0.0
2015-01-02,2,3,1.159999966621399,2,6.5,0.0
2015-01-02,2,1,0.9599999785423279,2,5.5,0.0
2015-01-02,2,6,18.280000686645508,1,52.0,10.399999618530273
2015-01-02,2,2,1.5800000429153442,1,7.5,2.4000000953674316
2015-01-02,2,1,7.289999961853027,1,25.5,5.199999809265137
2015-01-02,2,1,1.600000023841858,1,7.5,2.4000000953674316
2015-01-02,2,3,0.7699999809265137,1,5.0,1.100000023841858
2015-01-02,2,5,6.840000152587891,1,21.0,4.300000190734863
2015-01-02,2,5,0.3400000035762787,2,3.5,0.0
2015-01-02,2,1,11.199999809265137,1,35.0,7.099999904632568
2015-01-02,2,2,0.8400000333786011,2,5.0,0.0
2015-01-02,2,1,0.7899999618530273,2,4.5,0.0
2015-01-02,2,1,1.2000000476837158,1,5.5,1.0
2015-01-02,2,4,1.9499999284744263,2,8.5,0.0
2015-01-02,2,2,16.71000099182129,1,52.0,11.470000267028809
2015-01-02,2,1,1.8399999141693115,1,8.5,1.7999999523162842
2015-01-02,2,2,1.600000023841858,1,8.0,1.7000000476837158
2015-01-02,2,1,2.8499999046325684,2,11.0,0.0
2015-01-02,2,1,3.9200000762939453,2,14.0,0.0
2015-01-02,2,1,8.140000343322754,2,24.0,0.0
2015-01-02,2,1,6.25,2,21.0,0.0
2015-01-02,2,5,1.8299999237060547,2,8.0,0.0
2015-01-02,2,6,1.959999918937683,1,9.0,1.0
2015-01-02,2,1,19.44999885559082,1,52.5,10.600000381469727
2015-01-02,2,4,1.0199999809265137,2,6.0,0.0
2015-01-02,2,5,21.149999618530273,1,52.0,7.199999809265137
2015-01-02,2,1,2.9200000762939453,2,10.0,0.0
2015-01-02,2,5,1.2999999523162842,2,6.5,0.0
2015-01-02,2,5,5.470000267028809,2,17.5,0.0
2015-01-02,2,1,1.3899999856948853,1,7.0,1.5
2015-01-02,2,5,3.169999837875366,1,12.0,3.75
2015-01-02,2,1,0.9099999666213989,2,5.5,0.0
2015-01-02,2,5,3.179999828338623,1,11.5,2.4000000953674316
2015-01-02,2,1,0.9199999570846558,2,6.0,0.0
2015-01-02,2,1,2.5999999046325684,2,10.5,0.0
2015-01-02,2,3,18.780000686645508,1,51.0,0.0
2015-01-02,2,1,4.099999904632568,2,16.0,0.0
2015-01-02,2,3,13.690000534057617,2,39.5,0.0
2015-01-02,2,5,3.9000000953674316,2,14.5,0.0
2015-01-02,2,1,0.7799999713897705,2,4.5,0.0
2015-01-02,2,3,2.049999952316284,2,9.0,0.0
2015-01-02,2,1,1.0199999809265137,2,5.5,0.0
2015-01-02,2,2,1.090000033378601,2,5.5,0.0
2015-01-02,2,1,2.0,2,7.5,0.0
2015-01-02,2,1,2.859999895095825,2,10.5,0.0
2015-01-02,2,1,4.570000171661377,1,16.0,3.299999952316284
2015-01-02,2,1,1.4299999475479126,1,6.5,1.2000000476837158
2015-01-02,2,1,0.6600000262260437,2,4.0,0.0
2015-01-02,2,4,1.3499999046325684,1,6.5,1.399999976158142
2015-01-02,2,1,1.8599998950958252,1,8.0,1.7000000476837158
